-68.21	44.35
-109.57	38.68
-102.5	43.75
-103.25	29.25
-80.08	25.65
-107.72	38.57
-112.18	37.57
-109.93	38.2
-111.17	38.2
-104.44	32.17
-119.42	34.01
-80.78	33.78
-122.1	42.94
-81.55	41.24
-116.82	36.24
-82.87	24.63
-80.93	25.32
-114	48.8
-112.14	36.06
-110.8	43.73
-114.3	38.98
-105.51	37.73
-83.53	35.68
-104.87	31.92
-93.05	34.51
-88.55	48.1
-115.9	33.79
-118.55	36.8
-121.51	40.49
-86.1	37.18
-108.49	37.18
-121.75	46.85
-121.2	48.7
-123.5	47.97
-109.78	35.07
-121.16	36.48
-124	41.3
-105.58	40.4
-110.5	32.25
-118.68	36.43
-78.35	38.53
-103.45	46.97
-64.73	18.33
-92.88	48.5
-103.48	43.57
-110.5	44.6
-119.5	37.83
-113.05	37.3
